route,t,lat,lon,speed,speed_kmh,accel,signal,signal_1,signal_2,time_since_last_good,signal_bars,rsrp_dbm,rsrq_db,sinr_db,tower_distance_m,tower_count_nearby,real_tower_visible,rsrp_1,sinr_1,signal_delta,rsrp_delta,handover,distance_since_last_good_m
city_route,17.0,12.972054,77.594311,11.39,41.0,5.83,1,1,1,0.0,5,-73.01,-9.931,10.139,444.44,4,1,-74.56,9.476,0,1.55,0,0.0
city_route,18.0,12.972054,77.594311,5.48,19.7,-5.91,1,1,1,0.0,5,-73.99,-10.14,9.719,461.24,4,1,-73.01,10.139,0,-0.98,0,0.0
city_route,19.0,12.972054,77.594311,9.95,35.8,4.47,1,1,1,0.0,5,-79.61,-11.345,7.31,557.6,3,1,-73.99,9.719,0,-5.62,0,0.0
city_route,20.0,12.972054,77.594311,9.63,34.7,-0.32,1,1,1,0.0,5,-79.4,-11.3,7.4,554.0,3,1,-79.61,7.31,0,0.21,0,0.0
city_route,21.0,12.971584,77.595633,8.7,31.3,-0.93,1,1,1,0.0,5,-77.36,-10.864,8.273,519.08,3,1,-79.4,7.4,0,2.04,0,0.0
city_route,22.0,12.971584,77.595633,8.66,31.2,-0.04,1,1,1,0.0,5,-77.72,-10.941,8.117,525.32,3,1,-77.36,8.273,0,-0.36,0,0.0
city_route,23.0,12.971584,77.595633,8.67,31.2,0.01,1,1,1,0.0,5,-77.99,-10.998,8.003,529.88,3,1,-77.72,8.117,0,-0.27,0,0.0
city_route,24.0,12.971584,77.595633,8.2,29.5,-0.47,1,1,1,0.0,5,-74.83,-10.321,9.359,475.64,4,1,-77.99,8.003,0,3.16,0,0.0
city_route,25.0,12.971584,77.595633,9.89,35.6,1.69,1,1,1,0.0,5,-75.59,-10.482,9.035,488.6,4,1,-74.83,9.359,0,-0.76,0,0.0
city_route,26.0,12.971584,77.595633,7.04,25.3,-2.85,1,1,1,0.0,5,-78.77,-11.164,7.673,543.08,3,1,-75.59,9.035,0,-3.18,0,0.0
city_route,27.0,12.971584,77.595633,6.08,21.9,-0.96,1,1,1,0.0,4,-81.25,-11.696,6.608,585.68,3,1,-78.77,7.673,0,-2.48,0,0.0
city_route,28.0,12.971584,77.595633,12.48,44.9,6.0,1,1,1,0.0,5,-79.39,-11.297,7.406,553.76,3,1,-81.25,6.608,0,1.86,0,0.0
city_route,29.0,12.971584,77.595633,10.9,39.3,-1.58,1,1,1,0.0,4,-80.85,-11.611,6.779,578.84,3,1,-79.39,7.406,0,-1.46,0,0.0
city_route,30.0,12.971584,77.595633,7.0,25.2,-3.9,1,1,1,0.0,5,-77.97,-10.994,8.012,529.52,3,1,-80.85,6.779,0,2.88,0,0.0
city_route,31.0,12.971584,77.595633,9.76,35.1,2.76,1,1,1,0.0,4,-80.37,-11.507,6.986,570.56,3,1,-77.97,8.012,0,-2.4,0,0.0
city_route,32.0,12.971308,77.596555,10.38,37.4,0.62,1,1,1,0.0,5,-78.3,-11.065,7.871,535.16,3,1,-80.37,6.986,0,2.07,0,0.0
city_route,33.0,12.971308,77.596555,0.0,0.0,-6.0,1,1,1,0.0,5,-77.32,-10.854,8.291,518.36,3,1,-78.3,7.871,0,0.98,0,0.0
city_route,34.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-78.8,-11.172,7.655,543.8,3,1,-77.32,8.291,0,-1.48,0,0.0
city_route,35.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-81.44,-11.737,6.527,588.92,3,1,-78.8,7.655,0,-2.64,0,0.0
city_route,36.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-82.07,-11.871,6.257,599.72,3,1,-81.44,6.527,0,-0.63,0,0.0
city_route,37.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-82.8,-12.029,5.942,612.32,3,1,-82.07,6.257,0,-0.73,0,0.0
city_route,38.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-82.99,-12.07,5.861,615.56,3,1,-82.8,5.942,0,-0.19,0,0.0
city_route,39.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-82.72,-12.012,5.975,611.0,3,1,-82.99,5.861,0,0.27,0,0.0
city_route,40.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-82.6,-11.986,6.029,608.84,3,1,-82.72,5.975,0,0.12,0,0.0
city_route,41.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-80.36,-11.505,6.989,570.44,3,1,-82.6,6.029,0,2.24,0,0.0
city_route,42.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-80.77,-11.594,6.812,577.52,3,1,-80.36,6.989,0,-0.41,0,0.0
city_route,43.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-81.78,-11.81,6.38,594.8,3,1,-80.77,6.812,0,-1.01,0,0.0
city_route,44.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,4,-81.17,-11.678,6.644,584.24,3,1,-81.78,6.38,0,0.61,0,0.0
city_route,45.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-79.78,-11.383,7.235,560.6,3,1,-81.17,6.644,0,1.39,0,0.0
city_route,46.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-78.75,-11.16,7.679,542.84,3,1,-79.78,7.235,0,1.03,0,0.0
city_route,47.0,12.971308,77.596555,7.43,26.7,6.0,1,1,1,0.0,5,-76.93,-10.771,8.459,511.64,3,1,-78.75,7.679,0,1.82,0,0.0
city_route,48.0,12.971308,77.596555,4.6,16.6,-2.83,1,1,1,0.0,5,-76.34,-10.644,8.711,501.56,3,1,-76.93,8.459,0,0.59,0,0.0
city_route,49.0,12.971308,77.596555,0.0,0.0,-4.6,1,1,1,0.0,5,-75.12,-10.383,9.233,480.68,4,1,-76.34,8.711,0,1.22,0,0.0
city_route,50.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-76.67,-10.715,8.57,507.2,3,1,-75.12,9.233,0,-1.55,0,0.0
city_route,51.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-73.43,-10.021,9.959,451.64,4,1,-76.67,8.57,0,3.24,0,0.0
city_route,52.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-73.59,-10.055,9.89,454.4,4,1,-73.43,9.959,0,-0.16,0,0.0
city_route,53.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.75,-9.875,10.25,440.0,4,1,-73.59,9.89,0,0.84,0,0.0
city_route,54.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.87,-9.9,10.199,442.04,4,1,-72.75,10.25,0,-0.12,0,0.0
city_route,55.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-71.3,-9.563,10.874,415.04,4,1,-72.87,10.199,0,1.57,0,0.0
city_route,56.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.42,-9.805,10.391,434.36,4,1,-71.3,10.874,0,-1.12,0,0.0
city_route,57.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.07,-9.729,10.541,428.36,4,1,-72.42,10.391,0,0.35,0,0.0
city_route,58.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.84,-9.895,10.211,441.56,4,1,-72.07,10.541,0,-0.77,0,0.0
city_route,59.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.18,-9.753,10.493,430.28,4,1,-72.84,10.211,0,0.66,0,0.0
city_route,60.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.41,-9.802,10.397,434.12,4,1,-72.18,10.493,0,-0.23,0,0.0
city_route,61.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-72.57,-9.838,10.325,437.0,4,1,-72.41,10.397,0,-0.16,0,0.0
city_route,62.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-73.42,-10.019,9.962,451.52,4,1,-72.57,10.325,0,-0.85,0,0.0
city_route,63.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-73.91,-10.123,9.755,459.8,4,1,-73.42,9.962,0,-0.49,0,0.0
city_route,64.0,12.971308,77.596555,0.0,0.0,0.0,1,1,1,0.0,5,-70.91,-9.48,11.039,408.44,4,1,-73.91,9.755,0,3.0,0,0.0
city_route,65.0,12.971308,77.596555,8.43,30.3,6.0,1,1,1,0.0,5,-68.33,-8.927,12.146,364.16,4,1,-70.91,11.039,0,2.58,0,0.0
city_route,66.0,12.971308,77.596555,6.72,24.2,-1.71,1,1,1,0.0,5,-69.08,-9.087,11.825,377.0,4,1,-68.33,12.146,0,-0.75,0,0.0
city_route,67.0,12.971308,77.596555,9.88,35.6,3.16,1,1,1,0.0,5,-71.11,-9.522,10.955,411.8,4,1,-69.08,11.825,0,-2.03,0,0.0
city_route,68.0,12.971308,77.596555,9.37,33.7,-0.51,1,1,1,0.0,5,-72.86,-9.898,10.205,441.8,4,1,-71.11,10.955,0,-1.75,0,0.0
city_route,69.0,12.971308,77.596555,6.91,24.9,-2.46,1,1,1,0.0,5,-78.07,-11.015,7.97,531.2,3,1,-72.86,10.205,0,-5.21,0,0.0
city_route,70.0,12.971308,77.596555,4.41,15.9,-2.5,1,1,1,0.0,4,-81.59,-11.77,6.461,591.56,3,1,-78.07,7.97,0,-3.52,0,0.0
city_route,71.0,12.97118,77.597152,6.59,23.7,2.18,1,1,1,0.0,4,-81.73,-11.8,6.401,593.96,3,1,-81.59,6.461,0,-0.14,0,0.0
city_route,72.0,12.97118,77.597152,9.44,34.0,2.85,1,1,1,0.0,4,-81.38,-11.725,6.551,587.96,3,1,-81.73,6.401,0,0.35,0,0.0
city_route,73.0,12.97118,77.597152,10.0,36.0,0.56,1,1,1,0.0,4,-81.29,-11.705,6.59,586.4,3,1,-81.38,6.551,0,0.09,0,0.0
city_route,74.0,12.97118,77.597152,6.73,24.2,-3.27,1,1,1,0.0,5,-78.32,-11.069,7.862,535.52,3,1,-81.29,6.59,0,2.97,0,0.0
city_route,75.0,12.97118,77.597152,2.94,10.6,-3.79,1,1,1,0.0,5,-77.44,-10.88,8.24,520.4,3,1,-78.32,7.862,0,0.88,0,0.0
city_route,76.0,12.971154,77.597497,4.03,14.5,1.09,1,1,1,0.0,5,-77.29,-10.847,8.306,517.76,3,1,-77.44,8.24,0,0.15,0,0.0
city_route,77.0,12.971154,77.597497,9.2,33.1,5.17,1,1,1,0.0,5,-78.22,-11.048,7.904,533.84,3,1,-77.29,8.306,0,-0.93,0,0.0
city_route,78.0,12.971154,77.597497,6.87,24.7,-2.33,1,1,1,0.0,5,-76.23,-10.62,8.759,499.64,4,1,-78.22,7.904,0,1.99,0,0.0
city_route,79.0,12.971186,77.597666,6.93,25.0,0.06,1,1,1,0.0,5,-74.97,-10.351,9.299,478.04,4,1,-76.23,8.759,0,1.26,0,0.0
city_route,80.0,12.971229,77.59773,5.2,18.7,-1.73,1,1,1,0.0,5,-75.68,-10.502,8.996,490.16,4,1,-74.97,9.299,0,-0.71,0,0.0
city_route,81.0,12.971241,77.597764,5.15,18.5,-0.05,1,1,1,0.0,4,-87.92,-13.126,3.749,700.04,3,1,-75.68,8.996,0,-12.24,1,0.0
city_route,82.0,12.971212,77.597811,10.52,37.9,5.37,1,1,1,0.0,4,-84.77,-12.451,5.099,646.04,3,1,-87.92,3.749,0,3.15,0,0.0
city_route,83.0,12.971161,77.597896,9.3,33.5,-1.22,1,1,1,0.0,4,-81.77,-11.808,6.383,594.68,3,1,-84.77,5.099,0,3.0,0,0.0
city_route,84.0,12.971161,77.597896,6.22,22.4,-3.08,1,1,1,0.0,4,-80.41,-11.516,6.968,571.28,3,1,-81.77,6.383,0,1.36,0,0.0
city_route,85.0,12.971161,77.597896,8.22,29.6,2.0,1,1,1,0.0,5,-78.87,-11.188,7.625,545.0,3,1,-80.41,6.968,0,1.54,0,0.0
city_route,86.0,12.97111,77.598039,8.7,31.3,0.48,1,1,1,0.0,5,-77.49,-10.891,8.219,521.24,3,1,-78.87,7.625,0,1.38,0,0.0
city_route,87.0,12.97111,77.598039,12.81,46.1,4.11,1,1,1,0.0,5,-75.07,-10.371,9.257,479.72,4,1,-77.49,8.219,0,2.42,0,0.0
city_route,88.0,12.971063,77.598236,4.93,17.7,-6.0,1,1,1,0.0,5,-76.54,-10.687,8.627,504.92,3,1,-75.07,9.257,0,-1.47,0,0.0
city_route,89.0,12.971063,77.598236,8.66,31.2,3.73,1,1,1,0.0,5,-76.8,-10.744,8.513,509.48,3,1,-76.54,8.627,0,-0.26,0,0.0
city_route,90.0,12.971063,77.598236,10.51,37.8,1.85,1,1,1,0.0,4,-80.2,-11.471,7.058,567.68,3,1,-76.8,8.513,0,-3.4,0,0.0
city_route,91.0,12.97101,77.598446,12.39,44.6,1.88,1,1,1,0.0,4,-82.36,-11.934,6.131,604.76,3,1,-80.2,7.058,0,-2.16,0,0.0
city_route,92.0,12.97101,77.598446,6.08,21.9,-6.0,1,1,1,0.0,4,-86.03,-12.72,4.559,667.64,3,1,-82.36,6.131,0,-3.67,0,0.0
city_route,93.0,12.970937,77.598625,6.83,24.6,0.75,1,1,1,0.0,4,-87.26,-12.985,4.031,688.76,3,1,-86.03,4.559,0,-1.23,0,0.0
city_route,94.0,12.970937,77.598625,9.91,35.7,3.08,1,1,1,0.0,4,-84.1,-12.308,5.384,634.64,3,1,-87.26,4.031,0,3.16,0,0.0
city_route,95.0,12.970843,77.598763,0.0,0.0,-6.0,1,1,1,0.0,4,-83.43,-12.164,5.672,623.12,3,1,-84.1,5.384,0,0.67,0,0.0
city_route,96.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,4,-81.16,-11.677,6.647,584.12,3,1,-83.43,5.672,0,2.27,0,0.0
city_route,97.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,5,-77.75,-10.946,8.108,525.68,3,1,-81.16,6.647,0,3.41,0,0.0
city_route,98.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,5,-78.74,-11.157,7.685,542.6,3,1,-77.75,8.108,0,-0.99,0,0.0
city_route,99.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,4,-81.0,-11.643,6.713,581.48,3,1,-78.74,7.685,0,-2.26,0,0.0
city_route,100.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,5,-79.54,-11.33,7.34,556.4,3,1,-81.0,6.713,0,1.46,0,0.0
city_route,101.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,4,-81.72,-11.796,6.407,593.72,3,1,-79.54,7.34,0,-2.18,0,0.0
city_route,102.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,4,-82.12,-11.883,6.233,600.68,3,1,-81.72,6.407,0,-0.4,0,0.0
city_route,103.0,12.970843,77.598763,0.0,0.0,0.0,1,1,1,0.0,5,-79.72,-11.369,7.262,559.52,3,1,-82.12,6.233,0,2.4,0,0.0
city_route,104.0,12.970843,77.598763,8.94,32.2,6.0,1,1,1,0.0,4,-80.83,-11.606,6.788,578.48,3,1,-79.72,7.262,0,-1.11,0,0.0
city_route,105.0,12.970843,77.598763,13.99,50.4,5.05,1,1,1,0.0,4,-80.38,-11.51,6.98,570.8,3,1,-80.83,6.788,0,0.45,0,0.0
city_route,106.0,12.970766,77.598944,9.24,33.3,-4.75,1,1,1,0.0,5,-79.05,-11.226,7.547,548.12,3,1,-80.38,6.98,0,1.33,0,0.0
city_route,107.0,12.970766,77.598944,1.6,5.8,-6.0,1,1,1,0.0,5,-76.97,-10.778,8.444,512.24,3,1,-79.05,7.547,0,2.08,0,0.0
city_route,108.0,12.970766,77.598944,5.56,20.0,3.96,1,1,1,0.0,5,-75.48,-10.46,9.08,486.8,4,1,-76.97,8.444,0,1.49,0,0.0
city_route,109.0,12.970766,77.598944,6.16,22.2,0.6,1,1,1,0.0,5,-79.44,-11.309,7.382,554.72,3,1,-75.48,9.08,0,-3.96,0,0.0
city_route,110.0,12.970766,77.598944,0.0,0.0,-6.0,1,1,1,0.0,5,-75.98,-10.568,8.864,495.44,4,1,-79.44,7.382,0,3.46,0,0.0
city_route,111.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-73.37,-10.008,9.983,450.68,4,1,-75.98,8.864,0,2.61,0,0.0
city_route,112.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-73.89,-10.12,9.761,459.56,4,1,-73.37,9.983,0,-0.52,0,0.0
city_route,113.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-71.62,-9.632,10.736,420.56,4,1,-73.89,9.761,0,2.27,0,0.0
city_route,114.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-70.95,-9.489,11.021,409.16,4,1,-71.62,10.736,0,0.67,0,0.0
city_route,115.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-72.61,-9.843,10.313,437.48,4,1,-70.95,11.021,0,-1.66,0,0.0
city_route,116.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-73.81,-10.103,9.794,458.24,4,1,-72.61,10.313,0,-1.2,0,0.0
city_route,117.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-71.96,-9.705,10.589,426.44,4,1,-73.81,9.794,0,1.85,0,0.0
city_route,118.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-71.61,-9.63,10.739,420.44,4,1,-71.96,10.589,0,0.35,0,0.0
city_route,119.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-74.17,-10.18,9.641,464.36,4,1,-71.61,10.739,0,-2.56,0,0.0
city_route,120.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-74.09,-10.162,9.677,462.92,4,1,-74.17,9.641,0,0.08,0,0.0
city_route,121.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-71.9,-9.694,10.613,425.48,4,1,-74.09,9.677,0,2.19,0,0.0
city_route,122.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-71.96,-9.705,10.589,426.44,4,1,-71.9,10.613,0,-0.06,0,0.0
city_route,123.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.36,-10.647,8.705,501.8,3,1,-71.96,10.589,0,-4.4,0,0.0
city_route,124.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-78.73,-11.156,7.688,542.48,3,1,-76.36,8.705,0,-2.37,0,0.0
city_route,125.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-78.23,-11.05,7.901,533.96,3,1,-78.73,7.688,0,0.5,0,0.0
city_route,126.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-77.62,-10.919,8.162,523.52,3,1,-78.23,7.901,0,0.61,0,0.0
city_route,127.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-75.78,-10.524,8.951,491.96,4,1,-77.62,8.162,0,1.84,0,0.0
city_route,128.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-75.6,-10.486,9.029,488.84,4,1,-75.78,8.951,0,0.18,0,0.0
city_route,129.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-74.05,-10.152,9.695,462.2,4,1,-75.6,9.029,0,1.55,0,0.0
city_route,130.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-73.66,-10.07,9.86,455.6,4,1,-74.05,9.695,0,0.39,0,0.0
city_route,131.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-74.79,-10.311,9.377,474.92,4,1,-73.66,9.86,0,-1.13,0,0.0
city_route,132.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.24,-10.622,8.756,499.76,4,1,-74.79,9.377,0,-1.45,0,0.0
city_route,133.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-77.01,-10.789,8.423,513.08,3,1,-76.24,8.756,0,-0.77,0,0.0
city_route,134.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.31,-10.637,8.726,500.96,3,1,-77.01,8.423,0,0.7,0,0.0
city_route,135.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.74,-10.73,8.54,508.4,3,1,-76.31,8.726,0,-0.43,0,0.0
city_route,136.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-74.37,-10.221,9.557,467.72,4,1,-76.74,8.54,0,2.37,0,0.0
city_route,137.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.1,-10.594,8.813,497.48,4,1,-74.37,9.557,0,-1.73,0,0.0
city_route,138.0,12.970766,77.598944,0.0,0.0,0.0,1,1,1,0.0,5,-76.8,-10.744,8.513,509.48,3,1,-76.1,8.813,0,-0.7,0,0.0
city_route,139.0,12.970766,77.598944,8.47,30.5,6.0,1,1,1,0.0,5,-75.59,-10.484,9.032,488.72,4,1,-76.8,8.513,0,1.21,0,0.0
city_route,140.0,12.970748,77.599265,4.89,17.6,-3.58,1,1,1,0.0,5,-76.51,-10.682,8.636,504.56,3,1,-75.59,9.032,0,-0.92,0,0.0
city_route,141.0,12.970748,77.599265,6.54,23.5,1.65,1,1,1,0.0,5,-76.92,-10.768,8.465,511.4,3,1,-76.51,8.636,0,-0.41,0,0.0
city_route,142.0,12.970748,77.599265,8.84,31.8,2.3,1,1,1,0.0,4,-81.52,-11.755,6.491,590.36,3,1,-76.92,8.465,0,-4.6,0,0.0
city_route,143.0,12.970748,77.599265,8.39,30.2,-0.45,1,1,1,0.0,4,-83.76,-12.234,5.531,628.76,3,1,-81.52,6.491,0,-2.24,0,0.0
city_route,144.0,12.970748,77.599265,6.5,23.4,-1.89,1,1,1,0.0,4,-86.23,-12.762,4.475,671.0,3,1,-83.76,5.531,0,-2.47,0,0.0
city_route,145.0,12.970748,77.599265,5.1,18.4,-1.4,1,1,1,0.0,4,-84.33,-12.356,5.288,638.48,3,1,-86.23,4.475,0,1.9,0,0.0
city_route,146.0,12.970748,77.599265,14.0,50.4,6.0,1,1,1,0.0,4,-82.61,-11.989,6.023,609.08,3,1,-84.33,5.288,0,1.72,0,0.0
city_route,147.0,12.970748,77.599265,10.52,37.9,-3.48,1,1,1,0.0,4,-80.39,-11.513,6.974,571.04,3,1,-82.61,6.023,0,2.22,0,0.0
city_route,148.0,12.9708,77.599782,10.79,38.9,0.27,1,1,1,0.0,4,-80.33,-11.5,7.001,569.96,3,1,-80.39,6.974,0,0.06,0,0.0
city_route,149.0,12.9708,77.599782,7.53,27.1,-3.26,1,1,1,0.0,4,-80.11,-11.452,7.097,566.12,3,1,-80.33,7.001,0,0.22,0,0.0
city_route,150.0,12.9708,77.599782,6.04,21.7,-1.49,1,1,1,0.0,4,-80.73,-11.583,6.833,576.68,3,1,-80.11,7.097,0,-0.62,0,0.0
city_route,151.0,12.9708,77.599782,6.64,23.9,0.6,1,1,1,0.0,5,-78.67,-11.144,7.712,541.52,3,1,-80.73,6.833,0,2.06,0,0.0
city_route,152.0,12.9708,77.599782,4.17,15.0,-2.47,1,1,1,0.0,5,-75.85,-10.54,8.921,493.16,4,1,-78.67,7.712,0,2.82,0,0.0
city_route,153.0,12.9708,77.599782,12.74,45.9,6.0,1,1,1,0.0,5,-75.67,-10.501,8.999,490.04,4,1,-75.85,8.921,0,0.18,0,0.0
city_route,154.0,12.9708,77.599782,7.64,27.5,-5.1,1,1,1,0.0,5,-74.72,-10.298,9.404,473.84,4,1,-75.67,8.999,0,0.95,0,0.0
city_route,155.0,12.970779,77.600337,11.92,42.9,4.28,1,1,1,0.0,5,-75.21,-10.403,9.194,482.24,4,1,-74.72,9.404,0,-0.49,0,0.0
city_route,156.0,12.970779,77.600337,6.77,24.4,-5.15,1,1,1,0.0,5,-72.44,-9.808,10.385,434.6,4,1,-75.21,9.194,0,2.77,0,0.0
city_route,157.0,12.970779,77.600337,9.29,33.4,2.52,1,1,1,0.0,5,-76.31,-10.637,8.726,500.96,3,1,-72.44,10.385,0,-3.87,0,0.0
city_route,158.0,12.970779,77.600337,8.55,30.8,-0.74,1,1,1,0.0,5,-76.94,-10.774,8.453,511.88,3,1,-76.31,8.726,0,-0.63,0,0.0
city_route,159.0,12.970779,77.600337,3.9,14.0,-4.65,1,1,1,0.0,5,-75.61,-10.489,9.023,489.08,4,1,-76.94,8.453,0,1.33,0,0.0
